diagrp,Cause ,SOdm,Occupation,Observed,Exp_Adj,PMR_Adj,Lower_Adj,Upper_Adj,Exp_Unadj,PMR_Unadj,Lower_Unadj,Upper_Unadj
1,Intestinal infectious diseases,1,Lawyers,0,0.29,0,0,1285,0.42,0,0,873
1,Intestinal infectious diseases,2,Accountants and Financial Managers,4,2.02,198,54,506,1.70,235,64,602
1,Intestinal infectious diseases,3,Personnel Managers etc,0,0.64,0,0,576,0.41,0,0,902
1,Intestinal infectious diseases,4,Economists & statisticians,0,0.03,0,0,12178,0.07,0,0,5107
1,Intestinal infectious diseases,5,Computer Programmers and Managers,2,2.16,92,11,334,1.23,162,20,586
1,Intestinal infectious diseases,6,Sales Managers etc.,6,2.98,201,74,438,1.82,330,121,718
1,Intestinal infectious diseases,7,Government Inspectors,0,0.16,0,0,2358,0.11,0,0,3333
1,Intestinal infectious diseases,8,Government administrators,0,0.44,0,0,844,0.31,0,0,1174
1,Intestinal infectious diseases,9,Other Administrators,10,9.67,103,50,190,6.05,165,79,304
1,Intestinal infectious diseases,10,Teachers in Higher Education,0,0.66,0,0,559,0.72,0,0,512
1,Intestinal infectious diseases,11,School Teachers,4,2.12,189,51,483,1.35,295,81,757
1,Intestinal infectious diseases,12,"Vocational Trainers, Social Scientists etc.",1,0.68,147,4,817,0.48,209,5,1162
1,Intestinal infectious diseases,13,Welfare Workers,0,1.16,0,0,319,0.65,0,0,565
1,Intestinal infectious diseases,14,Clergy,0,0.11,0,0,3382,0.24,0,0,1524
1,Intestinal infectious diseases,15,Doctors,0,0.18,0,0,1994,0.38,0,0,978
1,Intestinal infectious diseases,16,Dentists,0,0.04,0,0,9672,0.09,0,0,4017
1,Intestinal infectious diseases,17,Nurses,1,1.06,94,2,523,0.59,170,4,946
1,Intestinal infectious diseases,18,Pharmacists/Pharmacologists,0,0.05,0,0,7373,0.12,0,0,3131
1,Intestinal infectious diseases,19,Medical Radiographers,0,0.03,0,0,11730,0.02,0,0,19420
1,Intestinal infectious diseases,20,Physiotherapists,0,0.03,0,0,14061,0.01,0,0,25465
1,Intestinal infectious diseases,21,Other Health Professions,1,0.34,297,8,1653,0.23,444,11,2473
1,Intestinal infectious diseases,22,Veterinarians,0,0.02,0,0,23924,0.03,0,0,11450
1,Intestinal infectious diseases,23,Driving Instructors (excluding HGV),0,0.30,0,0,1247,0.25,0,0,1471
1,Intestinal infectious diseases,24,Literary and Artistic Occupations,5,4.10,122,40,284,2.29,218,71,510
1,Intestinal infectious diseases,25,"Professional athletes, sports officials",1,0.15,646,16,3597,0.12,808,20,4504
1,Intestinal infectious diseases,26,Biological scientists,0,0.07,0,0,5385,0.16,0,0,2336
1,Intestinal infectious diseases,27,Chemical Engineers and Scientists,0,0.12,0,0,2952,0.25,0,0,1483
1,Intestinal infectious diseases,28,Physical Scientists & mathematicians,0,0.10,0,0,3827,0.24,0,0,1558
1,Intestinal infectious diseases,29,Electrical and Electronic Engineers (professional),0,0.06,0,0,6143,0.12,0,0,3137
1,Intestinal infectious diseases,30,Other Professional Engineers,1,0.92,108,3,603,1.76,57,1,317
1,Intestinal infectious diseases,31,Draughtspersons,1,0.56,178,5,992,0.47,211,5,1178
1,Intestinal infectious diseases,32,Laboratory Technicians,0,0.81,0,0,456,0.42,0,0,877
