diagrp,Cause,jobcode,Occupation,Observed,Exp_Adj,PMR_Adj,Lower_Adj,Upper_Adj,Exp_Unadj,PMR_Unadj,Lower_Unadj,Upper_Unadj
1,Tuberculosis,10,Lawyers,1,1.51,66,2,369,2.13,47,1,261
1,Tuberculosis,20,Accountants and Financial Managers,4,5.06,79,22,202,7.37,54,15,139
1,Tuberculosis,30,Personnel Managers etc,1,0.92,109,3,606,1.25,80,2,446
1,Tuberculosis,40,Economists & statisticians,0,0.98,0,0,377,1.35,0,0,274
1,Tuberculosis,50,Computer Programmers and Managers,8,7.74,103,45,203,10.62,75,32,148
1,Tuberculosis,60,Sales Managers etc.,5,8.32,60,19,140,11.74,43,14,99
1,Tuberculosis,70,Government Inspectors,0,0.31,0,0,1202,0.53,0,0,690
1,Tuberculosis,80,Government administrators,2,0.55,365,44,1316,0.83,242,29,873
1,Tuberculosis,90,Other Administrators,5,9.61,52,17,121,12.60,40,13,93
1,Tuberculosis,100,Teachers in Higher Education,1,1.81,55,2,308,2.83,35,1,197
1,Tuberculosis,110,School Teachers,4,3.57,112,30,286,5.95,67,18,172
1,Tuberculosis,120,"Vocational Trainers, Social Scientists etc.",2,1.44,139,17,501,2.11,95,11,342
1,Tuberculosis,130,Welfare Workers,4,2.34,171,47,438,3.27,122,33,313
1,Tuberculosis,140,Clergy,2,0.56,358,43,1293,0.82,243,29,879
1,Tuberculosis,150,Doctors,7,1.12,626,251,1290,1.59,441,177,908
1,Tuberculosis,160,Dentists,0,0.23,0,0,1636,0.31,0,0,1178
1,Tuberculosis,170,Nurses,3,1.44,208,43,608,2.17,138,29,404
1,Tuberculosis,180,Pharmacists/Pharmacologists,0,0.35,0,0,1049,0.46,0,0,802
1,Tuberculosis,190,Medical Radiographers,0,0.06,0,0,5692,0.10,0,0,3802
1,Tuberculosis,200,Physiotherapists,0,0.05,0,0,7781,0.08,0,0,4840
1,Tuberculosis,210,Other Health Professions,0,0.80,0,0,459,1.16,0,0,319
1,Tuberculosis,220,Veterinarians,0,0.08,0,0,4786,0.11,0,0,3264
1,Tuberculosis,230,Driving Instructors,2,1.21,165,20,594,1.03,194,23,699
1,Tuberculosis,240,Literary and Artistic Occupations,5,7.07,71,23,165,10.02,50,16,117
1,Tuberculosis,250,"Professional athletes, sports officials",3,0.72,415,86,1214,0.87,347,72,1013
1,Tuberculosis,260,Biological scientists,0,0.49,0,0,760,0.70,0,0,529
1,Tuberculosis,270,Chemical Engineers and Scientists,0,0.57,0,0,645,0.82,0,0,447
1,Tuberculosis,280,Physical Scientists & mathematicians,0,0.78,0,0,475,1.10,0,0,336
1,Tuberculosis,290,Electrical and Electronic Engineers (professional),0,0.21,0,0,1723,0.31,0,0,1187
1,Tuberculosis,300,Other Professional Engineers,2,4.82,41,5,150,7.10,28,3,102
1,Tuberculosis,310,Draughtspersons,1,0.93,108,3,600,1.23,82,2,455
1,Tuberculosis,320,Laboratory Technicians,2,0.87,229,28,828,1.37,146,17,526
1,Tuberculosis,330,Architects and Surveyors,4,2.31,173,47,443,3.39,118,32,302
1,Tuberculosis,340,Aircraft Flight Deck Officers,0,0.22,0,0,1708,0.30,0,0,1238
1,Tuberculosis,350,Air Traffic Controllers,0,0.05,0,0,7323,0.08,0,0,4684
1,Tuberculosis,360,Seafarers,4,2.14,187,51,478,1.96,205,56,524
1,Tuberculosis,370,Other Technicians,1,2.66,38,1,209,4.04,25,1,138
1,Tuberculosis,380,Production and maintenance managers,4,5.34,75,20,192,7.02,57,16,146
1,Tuberculosis,390,Managers in Construction,0,2.05,0,0,180,2.97,0,0,124
1,Tuberculosis,400,"Managers in Transport, Mining and Energy Industries",5,3.34,150,48,349,4.98,100,33,234
1,Tuberculosis,410,General and office managers,3,2.41,124,26,364,3.76,80,16,233
1,Tuberculosis,420,Butchers,2,2.74,73,9,263,2.37,85,10,305
1,Tuberculosis,430,"Fishmongers, Poultry Dressers",0,0.33,0,0,1105,0.27,0,0,1354
1,Tuberculosis,440,Retailers and Dealers,33,17.95,184,127,258,16.66,198,136,278
1,Tuberculosis,450,Publicans and Bar staff,7,5.67,124,50,254,6.46,108,44,223
1,Tuberculosis,460,Caterers,12,5.51,218,113,380,4.91,245,126,427
1,Tuberculosis,471,Farming and fishing,16,15.54,103,59,167,15.09,106,61,172
1,Tuberculosis,480,Armed Forces,1,2.75,36,1,202,4.11,24,1,136
1,Tuberculosis,490,Police,2,2.52,79,10,287,3.73,54,6,193
1,Tuberculosis,500,Fire Service Personnel,0,0.83,0,0,444,1.20,0,0,308
1,Tuberculosis,510,"Launderers, Dry Cleaners, Pressers",0,0.48,0,0,766,0.42,0,0,887
1,Tuberculosis,520,Hairdressers,2,1.36,147,18,531,1.19,168,20,605
1,Tuberculosis,530,Office Workers and Cashiers,14,16.91,83,45,139,21.98,64,35,107
1,Tuberculosis,540,"Postal Workers, Mail Sorters",6,8.32,72,26,157,6.14,98,36,213
1,Tuberculosis,560,Roundsmen/women & Van Salespersons,0,0.99,0,0,372,0.85,0,0,436
1,Tuberculosis,570,Sales Representatives,3,4.12,73,15,213,5.88,51,11,149
1,Tuberculosis,580,Security Workers,12,13.69,88,45,153,10.97,109,57,191
1,Tuberculosis,590,Cooks,12,9.40,128,66,223,7.59,158,82,276
1,Tuberculosis,600,Other Service Personnel,22,15.58,141,89,214,13.49,163,102,247
1,Tuberculosis,601,Call centre workers,0,0.18,0,0,2087,0.29,0,0,1256
1,Tuberculosis,610,Hospital Porters and Ward Orderlies,10,9.11,110,53,202,6.97,143,69,264
1,Tuberculosis,620,Ambulance Staff,0,0.53,0,0,694,0.71,0,0,520
1,Tuberculosis,631,Rail travel assistants,1,0.33,300,9,1673,0.46,218,7,1214
1,Tuberculosis,640,Undertakers,1,0.45,220,7,1225,0.36,274,8,1527
1,Tuberculosis,650,Forestry Workers,0,0.37,0,0,999,0.30,0,0,1248
1,Tuberculosis,671,Leather and related trades,1,0.47,213,6,1187,0.42,240,7,1337
1,Tuberculosis,711,Weavers and knitters,0,0.40,0,0,920,0.33,0,0,1103
1,Tuberculosis,740,Other Textile Processing Operatives,0,0.65,0,0,569,0.56,0,0,662
1,Tuberculosis,750,Chemical workers,5,2.03,246,80,574,2.05,243,79,568
1,Tuberculosis,760,Bakers,0,1.03,0,0,357,1.08,0,0,341
1,Tuberculosis,780,"Other Food, Drink & Tobacco Process Operatives n.e.c.",4,4.10,97,27,250,3.13,128,35,327
1,Tuberculosis,791,Paper and wood machine operatives,1,1.91,52,2,291,1.44,70,2,388
1,Tuberculosis,800,Bookbinders,0,0.47,0,0,781,0.40,0,0,917
1,Tuberculosis,821,Glass and ceramics workers,1,1.41,71,2,396,1.15,87,3,486
1,Tuberculosis,850,Rubber Manufacturers,0,0.48,0,0,771,0.37,0,0,1003
1,Tuberculosis,881,Coal miners,6,4.23,142,52,309,3.61,166,61,362
1,Tuberculosis,930,Plastic goods makers,1,1.14,88,3,489,0.87,114,3,637
1,Tuberculosis,940,Compositors,1,0.23,432,13,2404,0.24,418,13,2330
1,Tuberculosis,960,Printing Machine Minders & Assistants,0,0.59,0,0,621,0.45,0,0,821
1,Tuberculosis,970,Printers,0,2.49,0,0,148,2.61,0,0,141
1,Tuberculosis,980,Tailors & Dressmakers,1,0.37,268,8,1495,0.29,344,10,1918
1,Tuberculosis,990,Clothing cutter,0,0.21,0,0,1760,0.15,0,0,2428
1,Tuberculosis,1000,Sewers & embroiderers,0,0.78,0,0,474,0.65,0,0,567
1,Tuberculosis,1010,Upholsterers,0,0.76,0,0,487,0.67,0,0,548
1,Tuberculosis,1020,Floorers and wall tilers,2,1.78,113,14,406,1.57,127,15,460
1,Tuberculosis,1030,Other workers with fabrics,0,0.15,0,0,2402,0.13,0,0,2754
1,Tuberculosis,1040,Carpenters & Joiners,15,12.74,118,66,194,11.73,128,72,211
1,Tuberculosis,1050,Cabinet Makers,3,1.39,216,45,631,1.19,253,52,739
1,Tuberculosis,1070,Pattern Makers (moulds),0,0.11,0,0,3387,0.11,0,0,3242
1,Tuberculosis,1140,Smiths & Forge Workers,0,0.32,0,0,1138,0.28,0,0,1303
1,Tuberculosis,1160,"Moulders, Core Makers, Die Casters",0,0.43,0,0,864,0.31,0,0,1178
1,Tuberculosis,1170,Electroplater,0,0.34,0,0,1072,0.26,0,0,1432
1,Tuberculosis,1200,Other Metal Manufacturers,4,1.68,238,65,609,1.38,290,79,743
1,Tuberculosis,1211,Metal machining setters and setter-operators,1,2.40,42,1,232,1.79,56,2,312
1,Tuberculosis,1241,Metal working machine operatives,12,14.62,82,42,143,11.22,107,55,187
1,Tuberculosis,1290,"Tool Makers, Tool Fitters & Markers-Out",1,1.36,73,2,409,1.43,70,2,390
1,Tuberculosis,1300,Precision Instrument Makers & Repairers,2,0.82,244,29,882,0.86,232,28,838
1,Tuberculosis,1320,Production fitters,3,10.66,28,6,82,11.43,26,5,77
1,Tuberculosis,1330,"Motor Mechanics, Auto Engineers (including road patrol engineers)",6,7.10,85,31,184,7.30,82,30,179
1,Tuberculosis,1370,"Electricians, Electrical Maintenance Fitters",12,10.49,114,59,200,10.98,109,56,191
1,Tuberculosis,1390,Telephone Fitters,0,1.69,0,0,218,2.33,0,0,158
1,Tuberculosis,1400,"Cable Jointers, Lines Repairers",2,0.34,595,71,2146,0.35,564,68,2037
1,Tuberculosis,1410,"Radio, TV & Video Engineers",1,0.57,175,5,973,0.61,165,5,918
1,Tuberculosis,1420,Other Electrical/Electronic Trades n.e.c.,4,1.08,371,101,950,1.49,268,73,686
1,Tuberculosis,1430,Electrical Engineers (not professional),2,2.16,92,11,334,3.03,66,8,238
1,Tuberculosis,1440,"Plumbers, Heating & Ventilating Engineers & Related Trades",9,7.49,120,55,228,7.67,117,54,223
1,Tuberculosis,1450,Sheet Metal Workers,0,1.76,0,0,210,1.31,0,0,281
1,Tuberculosis,1460,"Metal Plate Workers, Shipwrights, Riveters",1,0.86,116,3,647,0.74,136,4,757
1,Tuberculosis,1470,Steel Erectors,1,1.06,95,3,526,0.83,120,4,668
1,Tuberculosis,1480,"Scaffolders, Stagers, Steeplejacks, Riggers",2,2.40,83,10,301,1.89,106,13,382
1,Tuberculosis,1490,Welding Trades,6,5.52,109,40,236,4.69,128,47,278
1,Tuberculosis,1510,Jewellery workers,2,0.30,660,79,2382,0.32,630,76,2275
1,Tuberculosis,1530,Coach & Vehicle Body Builders,0,1.15,0,0,321,1.20,0,0,309
1,Tuberculosis,1540,"Oilers, Greasers, Lubricators",8,6.05,132,57,260,4.53,177,76,348
1,Tuberculosis,1580,Coach Painters,1,0.61,163,5,907,0.49,205,6,1143
1,Tuberculosis,1600,Painters & Decorators,14,11.38,123,67,206,10.65,131,72,220
1,Tuberculosis,1610,Assemblers/Lineworkers (electrical/electronic goods),0,0.95,0,0,390,0.72,0,0,516
1,Tuberculosis,1630,Assemblers/Lineworkers (vehicles & other metal goods),2,2.03,99,12,356,1.53,131,16,472
1,Tuberculosis,1640,"Packers, Sorters and Testers",5,4.68,107,35,250,4.34,115,37,269
1,Tuberculosis,1650,"Bricklayers, Masons",3,4.86,62,13,180,4.41,68,14,199
1,Tuberculosis,1670,Plasterers,5,3.29,152,49,354,3.09,162,52,377
1,Tuberculosis,1680,Roofers and Glaziers,4,5.05,79,22,203,4.60,87,24,222
1,Tuberculosis,1700,Rail Construction & Maintenance Workers,0,0.36,0,0,1022,0.39,0,0,955
1,Tuberculosis,1710,Road Construction Workers and Paviors,3,2.03,148,31,432,1.61,187,39,545
1,Tuberculosis,1720,Sewage plant attendants,0,0.30,0,0,1230,0.31,0,0,1183
1,Tuberculosis,1740,Other Construction Workers,33,43.63,76,52,106,37.91,87,60,122
1,Tuberculosis,1760,Mine (excluding coal) & Quarry Workers,1,0.54,185,6,1030,0.59,169,5,942
1,Tuberculosis,1781,Rail transport operatives,1,1.16,86,3,479,1.25,80,2,446
1,Tuberculosis,1800,Railway engine drivers,0,0.58,0,0,639,0.60,0,0,615
1,Tuberculosis,1820,Bus & Coach Drivers,3,6.25,48,10,140,5.21,58,12,168
1,Tuberculosis,1830,Lorry drivers,21,30.45,69,43,105,25.67,82,51,125
1,Tuberculosis,1840,Other motor drivers,13,8.14,160,85,273,7.55,172,92,294
1,Tuberculosis,1860,Mechanical Plant Drivers & Operatives (earth moving & civil engineering),1,2.43,41,1,230,2.06,49,1,271
1,Tuberculosis,1870,Crane Drivers,1,1.22,82,2,456,0.91,110,3,612
1,Tuberculosis,1880,Fork Lift & Mechanical Truck Drivers,3,6.71,45,9,131,4.97,60,12,176
1,Tuberculosis,1900,Storekeepers & warehousemen/women,18,13.97,129,76,204,11.90,151,90,239
1,Tuberculosis,1910,Dockers and Goods Porters,0,0.93,0,0,398,0.78,0,0,473
1,Tuberculosis,1920,Refuse & Salvage Collectors,1,2.29,44,1,243,1.94,51,2,287
1,Tuberculosis,1940,"Electrical, Energy, Boiler & Related Plant Operatives & Attendants",1,0.56,179,5,997,0.43,231,7,1285
1,Tuberculosis,1950,Beauticians & related occupations,0,0.17,0,0,2178,0.15,0,0,2457
1,Tuberculosis,1960,Other crafts,0,1.00,0,0,368,1.07,0,0,343
1,Tuberculosis,1970,Other transport and machine operatives,0,0.74,0,0,499,0.81,0,0,456
1,Tuberculosis,1980,Other labourers,22,15.36,143,90,217,12.83,172,108,260
2,Zoonotic bacterial diseases,10,Lawyers,0,0.06,0,0,6313,0.15,0,0,2508
2,Zoonotic bacterial diseases,20,Accountants and Financial Managers,0,0.37,0,0,1006,0.52,0,0,714
2,Zoonotic bacterial diseases,30,Personnel Managers etc,0,0.06,0,0,6356,0.09,0,0,4211
2,Zoonotic bacterial diseases,40,Economists & statisticians,0,0.03,0,0,11666,0.09,0,0,4034
2,Zoonotic bacterial diseases,50,Computer Programmers and Managers,0,0.26,0,0,1425,0.65,0,0,568
2,Zoonotic bacterial diseases,60,Sales Managers etc.,1,0.68,146,4,815,0.80,125,4,697
2,Zoonotic bacterial diseases,70,Government Inspectors,0,0.07,0,0,5645,0.04,0,0,9570
2,Zoonotic bacterial diseases,80,Government administrators,0,0.05,0,0,7800,0.06,0,0,6106
