diagrp,Cause,SOdm,Occupation,Observed,Exp_Adj,PMR_Adj,Lower_Adj,Upper_Adj,Exp_Unadj,PMR_Unadj,Lower_Unadj,Upper_Unadj
1,Intestinal infectious diseases,1,Lawyers,1,0.40,250,6,1392,0.45,223,6,1240
1,Intestinal infectious diseases,2,Accountants and Financial Managers,0,1.61,0,0,229,1.61,0,0,229
1,Intestinal infectious diseases,3,Personnel Managers etc,0,0.71,0,0,523,0.64,0,0,578
1,Intestinal infectious diseases,4,Economists & statisticians,0,0.05,0,0,7928,0.06,0,0,6470
1,Intestinal infectious diseases,5,Computer Programmers and Managers,0,0.21,0,0,1722,0.20,0,0,1862
1,Intestinal infectious diseases,6,Sales Managers etc.,4,2.20,182,50,466,1.99,201,55,515
1,Intestinal infectious diseases,7,Government Inspectors,1,0.25,396,10,2207,0.23,437,11,2434
1,Intestinal infectious diseases,8,Government administrators,0,0.72,0,0,515,0.68,0,0,546
1,Intestinal infectious diseases,9,Other Administrators,13,8.88,146,78,250,8.05,161,86,276
1,Intestinal infectious diseases,10,Teachers in Higher Education,1,0.87,114,3,637,0.91,110,3,616
1,Intestinal infectious diseases,11,School Teachers,3,1.90,158,33,462,1.72,175,36,510
1,Intestinal infectious diseases,12,"Vocational Trainers, Social Scientists etc.",1,0.59,171,4,952,0.55,180,5,1005
1,Intestinal infectious diseases,13,Welfare Workers,0,0.52,0,0,716,0.46,0,0,800
1,Intestinal infectious diseases,14,Clergy,0,0.34,0,0,1075,0.42,0,0,875
1,Intestinal infectious diseases,15,Doctors,0,0.40,0,0,911,0.50,0,0,740
1,Intestinal infectious diseases,16,Dentists,0,0.09,0,0,4153,0.11,0,0,3379
1,Intestinal infectious diseases,17,Nurses,2,0.45,446,54,1610,0.40,494,60,1784
1,Intestinal infectious diseases,18,Pharmacists/Pharmacologists,0,0.13,0,0,2902,0.16,0,0,2361
1,Intestinal infectious diseases,19,Medical Radiographers,0,0.02,0,0,18172,0.02,0,0,19995
1,Intestinal infectious diseases,20,Physiotherapists,0,0.02,0,0,16022,0.02,0,0,17943
1,Intestinal infectious diseases,21,Other Health Professions,0,0.33,0,0,1111,0.31,0,0,1181
1,Intestinal infectious diseases,22,Veterinarians,0,0.04,0,0,9601,0.05,0,0,7844
1,Intestinal infectious diseases,23,Driving Instructors (excluding HGV),0,0.24,0,0,1534,0.26,0,0,1446
1,Intestinal infectious diseases,24,Literary and Artistic Occupations,2,1.59,126,15,455,1.48,136,16,490
1,Intestinal infectious diseases,25,"Professional athletes, sports officials",0,0.06,0,0,5943,0.07,0,0,5661
1,Intestinal infectious diseases,26,Biological scientists,0,0.13,0,0,2898,0.16,0,0,2359
1,Intestinal infectious diseases,27,Chemical Engineers and Scientists,1,0.33,305,8,1698,0.40,247,6,1378
1,Intestinal infectious diseases,28,Physical Scientists & mathematicians,0,0.21,0,0,1729,0.26,0,0,1403
1,Intestinal infectious diseases,29,Electrical and Electronic Engineers (professional),0,0.17,0,0,2207,0.21,0,0,1796
1,Intestinal infectious diseases,30,Other Professional Engineers,2,2.20,91,11,328,2.71,74,9,267
1,Intestinal infectious diseases,31,Draughtspersons,0,0.80,0,0,460,0.84,0,0,437
1,Intestinal infectious diseases,32,Laboratory Technicians,0,0.54,0,0,687,0.49,0,0,759
1,Intestinal infectious diseases,33,Architects and Surveyors,2,0.89,226,27,816,1.01,199,24,718
1,Intestinal infectious diseases,34,Aircraft Flight Deck Officers,0,0.15,0,0,2539,0.13,0,0,2783
1,Intestinal infectious diseases,35,Air Traffic Controllers,0,0.04,0,0,9398,0.04,0,0,10425
1,Intestinal infectious diseases,36,Seafarers,0,1.18,0,0,313,1.08,0,0,340
1,Intestinal infectious diseases,37,Other Technicians,1,0.94,107,3,595,0.84,119,3,663
1,Intestinal infectious diseases,38,Production and maintenance managers,0,3.85,0,0,96,3.52,0,0,105
1,Intestinal infectious diseases,39,Managers in Construction,0,0.89,0,0,413,0.84,0,0,440
1,Intestinal infectious diseases,40,"Managers in Transport, Mining and Energy Industries",2,2.47,81,10,292,2.24,89,11,322
1,Intestinal infectious diseases,41,General and office managers,2,2.43,82,10,297,2.20,91,11,328
1,Intestinal infectious diseases,42,Butchers,2,0.94,213,26,770,1.04,192,23,694
1,Intestinal infectious diseases,43,"Fishmongers, Poultry Dressers",0,0.06,0,0,5816,0.07,0,0,5003
1,Intestinal infectious diseases,44,Retailers and Dealers,1,2.14,47,1,260,2.14,47,1,261
1,Intestinal infectious diseases,45,Publicans and Bar staff,3,1.74,173,36,505,1.58,190,39,554
1,Intestinal infectious diseases,46,Caterers,2,0.91,220,27,795,0.89,224,27,809
1,Intestinal infectious diseases,47,Farmers,7,7.17,98,39,201,6.61,106,43,218
1,Intestinal infectious diseases,48,Armed Forces,2,2.00,100,12,361,1.30,154,19,558
1,Intestinal infectious diseases,49,Police,1,1.07,93,2,521,1.11,90,2,503
1,Intestinal infectious diseases,50,Fire Service Personnel,1,0.38,264,7,1470,0.38,265,7,1475
1,Intestinal infectious diseases,51,"Launderers, Dry Cleaners, Pressers",0,0.15,0,0,2523,0.14,0,0,2696
1,Intestinal infectious diseases,52,Hairdressers,0,0.20,0,0,1816,0.22,0,0,1671
1,Intestinal infectious diseases,53,Office Workers and Cashiers,11,10.35,106,53,190,10.82,102,51,182
