Cause,jobcode,Occupation,Observed,Exp_Adj,PMR_Adj,Lower_Adj,Upper_Adj
Pulmonary fibrosis,10,Lawyers,20,14.57,137,84,212
Pulmonary fibrosis,20,Accountants and Financial Managers,52,59.38,88,65,115
Pulmonary fibrosis,30,Personnel Managers etc,15,11.11,135,76,223
Pulmonary fibrosis,40,Economists & statisticians,7,7.03,100,40,205
Pulmonary fibrosis,50,Computer Programmers and Managers,26,22.46,116,76,170
Pulmonary fibrosis,60,Sales Managers etc.,101,94.79,107,87,129
Pulmonary fibrosis,70,Government Inspectors,10,7.73,129,62,238
Pulmonary fibrosis,80,Government administrators,3,9.02,33,7,97
Pulmonary fibrosis,90,Other Administrators,118,101.31,116,96,140
Pulmonary fibrosis,100,Teachers in Higher Education,37,34.76,106,75,147
Pulmonary fibrosis,110,School Teachers,43,56.13,77,55,103
Pulmonary fibrosis,120,"Vocational Trainers, Social Scientists etc.",23,16.40,140,89,210
Pulmonary fibrosis,130,Welfare Workers,19,18.42,103,62,161
Pulmonary fibrosis,140,Clergy,14,12.93,108,59,182
Pulmonary fibrosis,150,Doctors,19,15.31,124,75,194
Pulmonary fibrosis,160,Dentists,5,3.54,141,46,330
Pulmonary fibrosis,170,Nurses,11,11.73,94,47,168
Pulmonary fibrosis,180,Pharmacists/Pharmacologists,2,5.20,38,5,139
Pulmonary fibrosis,190,Medical Radiographers,0,0.61,0,0,604
Pulmonary fibrosis,200,Physiotherapists,1,0.54,185,6,1029
Pulmonary fibrosis,210,Other Health Professions,10,10.09,99,48,182
Pulmonary fibrosis,220,Veterinarians,2,1.03,195,23,704
Pulmonary fibrosis,230,Driving Instructors,6,8.64,69,25,151
Pulmonary fibrosis,240,Literary and Artistic Occupations,54,56.82,95,71,124
Pulmonary fibrosis,250,"Professional athletes, sports officials",1,4.16,24,1,134
Pulmonary fibrosis,260,Biological scientists,3,5.84,51,11,150
Pulmonary fibrosis,270,Chemical Engineers and Scientists,11,12.89,85,43,153
Pulmonary fibrosis,280,Physical Scientists & mathematicians,6,9.27,65,24,141
Pulmonary fibrosis,290,Electrical and Electronic Engineers (professional),5,4.65,108,35,251
Pulmonary fibrosis,300,Other Professional Engineers,81,85.80,94,75,117
Pulmonary fibrosis,310,Draughtspersons,21,21.87,96,59,147
Pulmonary fibrosis,320,Laboratory Technicians,9,11.88,76,35,144
Pulmonary fibrosis,330,Architects and Surveyors,28,32.42,86,57,125
Pulmonary fibrosis,340,Aircraft Flight Deck Officers,1,3.25,31,1,171
Pulmonary fibrosis,350,Air Traffic Controllers,1,1.09,92,3,513
Pulmonary fibrosis,360,Seafarers,18,28.29,64,38,101
Pulmonary fibrosis,370,Other Technicians,38,29.70,128,91,176
Pulmonary fibrosis,380,Production and maintenance managers,97,79.73,122,99,148
Pulmonary fibrosis,390,Managers in Construction,26,28.34,92,60,134
Pulmonary fibrosis,400,"Managers in Transport, Mining and Energy Industries",57,52.69,108,82,140
Pulmonary fibrosis,410,General and office managers,45,46.69,96,70,129
Pulmonary fibrosis,420,Butchers,29,18.82,154,103,221
Pulmonary fibrosis,430,"Fishmongers, Poultry Dressers",2,2.06,97,12,350
